timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1607097578881,5986,Microsoft Home Page-1,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Connection reset,User Group 2 2-14,text,false,,4691,0,60,90,https://www.microsoft.com/en-in,0,0,5986
1607097559270,27141,Microsoft Home Page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,User Group 1 1-4,text,false,Test failed: code expected to contain /200/,4097,120,30,90,https://www.microsoft.com/en-in,3261,0,1608
1607097559270,3261,Microsoft Home Page-0,301,Moved Permanently,User Group 1 1-4,,true,,441,120,30,90,http://www.microsoft.com/en-in,3261,0,1608
1607097562530,23881,Microsoft Home Page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,User Group 1 1-4,text,false,,3656,0,30,90,https://www.microsoft.com/en-in,0,0,23880
1607097558230,28186,Microsoft Home Page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,User Group 2 2-25,text,false,Test failed: code expected to contain /200/,4097,120,60,90,https://www.microsoft.com/en-in,3238,0,1605
1607097558230,3238,Microsoft Home Page-0,301,Moved Permanently,User Group 2 2-25,,true,,441,120,60,90,http://www.microsoft.com/en-in,3238,0,1605
1607097561467,24949,Microsoft Home Page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,User Group 2 2-25,text,false,,3656,0,60,90,https://www.microsoft.com/en-in,0,0,24949
1607097561929,25146,Microsoft Windows,200,OK,User Group 2 2-19,text,true,,139126,128,60,90,http://www.microsoft.com/en-in/windows,8870,0,2596
1607097510574,77831,Microsoft Windows,200,OK,User Group 2 2-4,text,true,,139126,128,60,90,http://www.microsoft.com/en-in/windows,3333,0,0
1607097470346,119751,Microsoft Home Page,200,OK,User Group 2 2-57,text,true,,182569,240,60,90,https://www.microsoft.com/en-in,1121,0,109
1607097470346,1121,Microsoft Home Page-0,301,Moved Permanently,User Group 2 2-57,,true,,441,120,60,90,http://www.microsoft.com/en-in,1121,0,109
1607097471468,118629,Microsoft Home Page-1,200,OK,User Group 2 2-57,text,true,,182128,120,60,90,https://www.microsoft.com/en-in,102305,0,3753
1607097497886,92636,Microsoft Windows,200,OK,User Group 1 1-1,text,true,,139128,128,30,90,http://www.microsoft.com/en-in/windows,3639,0,0
1607097549518,42125,Microsoft Home Page,200,OK,User Group 1 1-11,text,true,,180871,240,30,90,https://www.microsoft.com/en-in,4290,0,1618
1607097549518,4290,Microsoft Home Page-0,301,Moved Permanently,User Group 1 1-11,,true,,439,120,30,90,http://www.microsoft.com/en-in,4290,0,1618
1607097553808,37835,Microsoft Home Page-1,200,OK,User Group 1 1-11,text,true,,180432,120,30,90,https://www.microsoft.com/en-in,19622,0,11151
1607097570422,21392,Microsoft Windows,200,OK,User Group 2 2-13,text,true,,139126,128,60,90,http://www.microsoft.com/en-in/windows,4818,0,2626
1607097552510,39325,Microsoft Home Page,200,OK,User Group 2 2-55,text,true,,180873,240,60,90,https://www.microsoft.com/en-in,6446,0,3653
1607097552510,6446,Microsoft Home Page-0,301,Moved Permanently,User Group 2 2-55,,true,,441,120,60,90,http://www.microsoft.com/en-in,6446,0,3653
1607097558957,32878,Microsoft Home Page-1,200,OK,User Group 2 2-55,text,true,,180432,120,60,90,https://www.microsoft.com/en-in,17429,0,8806
1607097487759,104287,Microsoft Windows,200,OK,User Group 2 2-3,text,true,,139126,128,60,90,http://www.microsoft.com/en-in/windows,3418,0,0
1607097469700,122498,Microsoft Home Page,200,OK,User Group 1 1-12,text,true,,180680,240,30,90,https://www.microsoft.com/en-in,795,0,155
1607097469700,795,Microsoft Home Page-0,301,Moved Permanently,User Group 1 1-12,,true,,441,120,30,90,http://www.microsoft.com/en-in,795,0,155
1607097470496,121702,Microsoft Home Page-1,200,OK,User Group 1 1-12,text,true,,180239,120,30,90,https://www.microsoft.com/en-in,40471,0,4123
1607097536869,55392,Microsoft Windows,200,OK,User Group 1 1-18,text,true,,139128,128,30,90,http://www.microsoft.com/en-in/windows,10381,0,2623
1607097575361,17257,Microsoft Windows,200,OK,User Group 2 2-52,text,true,,139126,128,60,90,http://www.microsoft.com/en-in/windows,4503,0,2428
1607097570652,21982,Microsoft Windows,200,OK,User Group 2 2-56,text,true,,139128,128,60,90,http://www.microsoft.com/en-in/windows,6472,0,2614
1607097579371,13336,Microsoft Windows,200,OK,User Group 2 2-2,text,true,,139126,128,60,90,http://www.microsoft.com/en-in/windows,3620,0,1606
1607097469511,123345,Microsoft Home Page,200,OK,User Group 2 2-5,text,true,,183755,240,60,90,https://www.microsoft.com/en-in,633,0,328
1607097469511,633,Microsoft Home Page-0,301,Moved Permanently,User Group 2 2-5,,true,,439,120,60,90,http://www.microsoft.com/en-in,633,0,328
1607097470145,122711,Microsoft Home Page-1,200,OK,User Group 2 2-5,text,true,,183316,120,60,90,https://www.microsoft.com/en-in,6602,0,5287
1607097580649,12313,Microsoft Windows,200,OK,User Group 1 1-30,text,true,,139126,128,30,90,http://www.microsoft.com/en-in/windows,3432,0,1678
1607097563274,29721,Microsoft Home Page,200,OK,User Group 2 2-37,text,true,,180873,240,60,90,https://www.microsoft.com/en-in,4205,0,2574
1607097563274,4205,Microsoft Home Page-0,301,Moved Permanently,User Group 2 2-37,,true,,439,120,60,90,http://www.microsoft.com/en-in,4205,0,2574
1607097567479,25516,Microsoft Home Page-1,200,OK,User Group 2 2-37,text,true,,180434,120,60,90,https://www.microsoft.com/en-in,15454,0,8867
1607097469505,123602,Microsoft Home Page,200,OK,User Group 2 2-1,text,true,,182567,240,60,90,https://www.microsoft.com/en-in,590,0,309
1607097469505,590,Microsoft Home Page-0,301,Moved Permanently,User Group 2 2-1,,true,,441,120,60,90,http://www.microsoft.com/en-in,590,0,309
1607097470097,123010,Microsoft Home Page-1,200,OK,User Group 2 2-1,text,true,,182126,120,60,90,https://www.microsoft.com/en-in,11729,0,5201
1607097571398,21765,Microsoft Windows,200,OK,User Group 1 1-25,text,true,,139126,128,30,90,http://www.microsoft.com/en-in/windows,5693,0,2559
1607097508808,84378,Microsoft Windows,200,OK,User Group 1 1-2,text,true,,139126,128,30,90,http://www.microsoft.com/en-in/windows,2411,0,0
1607097563830,29545,Microsoft Windows,200,OK,User Group 1 1-14,text,true,,139126,128,30,90,http://www.microsoft.com/en-in/windows,6901,0,1588
1607097470276,123127,Microsoft Home Page,200,OK,User Group 2 2-53,text,true,,180756,240,60,90,https://www.microsoft.com/en-in,1078,0,122
1607097470276,1078,Microsoft Home Page-0,301,Moved Permanently,User Group 2 2-53,,true,,441,120,60,90,http://www.microsoft.com/en-in,1078,0,122
1607097471355,122048,Microsoft Home Page-1,200,OK,User Group 2 2-53,text,true,,180315,120,60,90,https://www.microsoft.com/en-in,11431,0,3952
1607097580473,12996,Microsoft Windows,200,OK,User Group 2 2-22,text,true,,139126,128,60,90,http://www.microsoft.com/en-in/windows,3371,0,1604
1607097565826,27758,Microsoft Windows,200,OK,User Group 2 2-51,text,true,,139126,128,60,90,http://www.microsoft.com/en-in/windows,8763,0,2582
1607097469571,124078,Microsoft Home Page,200,OK,User Group 1 1-8,text,true,,180680,240,30,89,https://www.microsoft.com/en-in,597,0,269
1607097469571,597,Microsoft Home Page-0,301,Moved Permanently,User Group 1 1-8,,true,,441,120,30,89,http://www.microsoft.com/en-in,597,0,269
1607097470169,123480,Microsoft Home Page-1,200,OK,User Group 1 1-8,text,true,,180239,120,30,89,https://www.microsoft.com/en-in,16187,0,4442
1607097470362,123365,Microsoft Home Page,200,OK,User Group 2 2-58,text,true,,180684,240,59,89,https://www.microsoft.com/en-in,1105,0,95
1607097470362,1105,Microsoft Home Page-0,301,Moved Permanently,User Group 2 2-58,,true,,441,120,59,89,http://www.microsoft.com/en-in,1105,0,95
1607097471468,122259,Microsoft Home Page-1,200,OK,User Group 2 2-58,text,true,,180243,120,59,89,https://www.microsoft.com/en-in,10280,0,3378
1607097564983,28785,Microsoft Home Page,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.microsoft.com:443 failed to respond,User Group 2 2-45,text,false,Test failed: code expected to contain /200/,3035,120,59,89,https://www.microsoft.com/en-in,4284,0,1601
1607097564983,4284,Microsoft Home Page-0,301,Moved Permanently,User Group 2 2-45,,true,,441,120,59,89,http://www.microsoft.com/en-in,4284,0,1601
1607097569268,24500,Microsoft Home Page-1,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.microsoft.com:443 failed to respond,User Group 2 2-45,text,false,,2594,0,59,89,https://www.microsoft.com/en-in,0,0,24499
1607097469886,123937,Microsoft Home Page,200,OK,User Group 2 2-31,text,true,,180700,240,59,89,https://www.microsoft.com/en-in,678,0,109
1607097469886,678,Microsoft Home Page-0,301,Moved Permanently,User Group 2 2-31,,true,,441,120,59,89,http://www.microsoft.com/en-in,678,0,109
1607097470566,123257,Microsoft Home Page-1,200,OK,User Group 2 2-31,text,true,,180259,120,59,89,https://www.microsoft.com/en-in,36165,0,4045
1607097565806,28270,Microsoft Home Page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,User Group 2 2-34,text,false,Test failed: code expected to contain /200/,4097,120,59,89,https://www.microsoft.com/en-in,4223,0,1610
1607097565806,4223,Microsoft Home Page-0,301,Moved Permanently,User Group 2 2-34,,true,,441,120,59,89,http://www.microsoft.com/en-in,4223,0,1610
1607097570029,24047,Microsoft Home Page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,User Group 2 2-34,text,false,,3656,0,59,89,https://www.microsoft.com/en-in,0,0,24047
1607097565890,28485,Microsoft Home Page,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.microsoft.com:443 failed to respond,User Group 2 2-50,text,false,Test failed: code expected to contain /200/,3035,120,59,89,https://www.microsoft.com/en-in,5085,0,0
1607097565890,5085,Microsoft Home Page-0,301,Moved Permanently,User Group 2 2-50,,true,,441,120,59,89,http://www.microsoft.com/en-in,5085,0,0
1607097570976,23399,Microsoft Home Page-1,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.microsoft.com:443 failed to respond,User Group 2 2-50,text,false,,2594,0,59,89,https://www.microsoft.com/en-in,0,0,23397
1607097469822,125667,Microsoft Home Page,200,OK,User Group 2 2-27,text,true,,180652,240,59,89,https://www.microsoft.com/en-in,729,0,112
1607097469822,729,Microsoft Home Page-0,301,Moved Permanently,User Group 2 2-27,,true,,441,120,59,89,http://www.microsoft.com/en-in,729,0,112
1607097470552,124937,Microsoft Home Page-1,200,OK,User Group 2 2-27,text,true,,180211,120,59,89,https://www.microsoft.com/en-in,11059,0,4264
1607097575010,21796,Microsoft Windows,200,OK,User Group 1 1-3,text,true,,139128,128,30,89,http://www.microsoft.com/en-in/windows,3838,0,0
1607097569149,27775,Microsoft Home Page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,User Group 1 1-17,text,false,Test failed: code expected to contain /200/,4097,120,29,88,https://www.microsoft.com/en-in,3228,0,1594
1607097569149,3228,Microsoft Home Page-0,301,Moved Permanently,User Group 1 1-17,,true,,441,120,29,88,http://www.microsoft.com/en-in,3228,0,1594
1607097572378,24546,Microsoft Home Page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,User Group 1 1-17,text,false,,3656,0,29,88,https://www.microsoft.com/en-in,0,0,24546
1607097469630,128119,Microsoft Home Page,200,OK,User Group 2 2-16,text,true,,180877,240,59,88,https://www.microsoft.com/en-in,593,0,219
1607097469630,593,Microsoft Home Page-0,301,Moved Permanently,User Group 2 2-16,,true,,441,120,59,88,http://www.microsoft.com/en-in,593,0,219
1607097470224,127525,Microsoft Home Page-1,200,OK,User Group 2 2-16,text,true,,180436,120,59,88,https://www.microsoft.com/en-in,11368,0,4390
1607097500167,97861,Microsoft Windows,200,OK,User Group 2 2-33,text,true,,139126,128,59,88,http://www.microsoft.com/en-in/windows,3787,0,0
1607097591834,6577,Microsoft Windows,200,OK,User Group 2 2-55,text,true,,139126,128,59,88,http://www.microsoft.com/en-in/windows,1662,0,0
1607097591644,6865,Microsoft Windows,200,OK,User Group 1 1-11,text,true,,139126,128,29,87,http://www.microsoft.com/en-in/windows,1758,0,0
1607097470197,128532,Microsoft Home Page,200,OK,User Group 1 1-26,text,true,,180696,240,28,86,https://www.microsoft.com/en-in,992,0,132
1607097470197,992,Microsoft Home Page-0,301,Moved Permanently,User Group 1 1-26,,true,,441,120,28,86,http://www.microsoft.com/en-in,992,0,132
1607097471190,127539,Microsoft Home Page-1,200,OK,User Group 1 1-26,text,true,,180255,120,28,86,https://www.microsoft.com/en-in,11661,0,3623
1607097586416,12476,Microsoft Windows,200,OK,User Group 2 2-25,text,true,,139128,128,58,86,http://www.microsoft.com/en-in/windows,5082,0,0
1607097567662,34296,Microsoft Home Page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,User Group 2 2-6,text,false,Test failed: code expected to contain /200/,4097,120,57,85,https://www.microsoft.com/en-in,5190,0,3535
1607097567662,5190,Microsoft Home Page-0,301,Moved Permanently,User Group 2 2-6,,true,,441,120,57,85,http://www.microsoft.com/en-in,5190,0,3535
1607097572852,29106,Microsoft Home Page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,User Group 2 2-6,text,false,,3656,0,57,85,https://www.microsoft.com/en-in,0,0,29106
1607097592198,10301,Microsoft Windows,200,OK,User Group 1 1-12,text,true,,139126,128,28,85,http://www.microsoft.com/en-in/windows,2526,0,1074
1607097576195,26372,Microsoft Home Page,200,OK,User Group 1 1-16,text,true,,182633,240,28,85,https://www.microsoft.com/en-in,3110,0,1567
1607097576195,3110,Microsoft Home Page-0,301,Moved Permanently,User Group 1 1-16,,true,,441,120,28,85,http://www.microsoft.com/en-in,3110,0,1567
1607097579305,23262,Microsoft Home Page-1,200,OK,User Group 1 1-16,text,true,,182192,120,28,85,https://www.microsoft.com/en-in,12651,0,7278
1607097592995,9741,Microsoft Windows,200,OK,User Group 2 2-37,text,true,,139126,128,57,85,http://www.microsoft.com/en-in/windows,1332,0,0
1607097590097,12688,Microsoft Windows,200,OK,User Group 2 2-57,text,true,,139126,128,56,84,http://www.microsoft.com/en-in/windows,3219,0,1545
1607097536009,66931,Microsoft Windows,200,OK,User Group 2 2-20,text,true,,139128,128,56,84,http://www.microsoft.com/en-in/windows,9499,0,2157
1607097531934,71678,Microsoft Windows,200,OK,User Group 2 2-47,text,true,,139126,128,56,84,http://www.microsoft.com/en-in/windows,8453,0,6232
1607097578341,26064,Microsoft Home Page,200,OK,User Group 1 1-15,text,true,,182637,240,28,84,https://www.microsoft.com/en-in,3203,0,1576
1607097578341,3203,Microsoft Home Page-0,301,Moved Permanently,User Group 1 1-15,,true,,441,120,28,84,http://www.microsoft.com/en-in,3203,0,1576
1607097581545,22860,Microsoft Home Page-1,200,OK,User Group 1 1-15,text,true,,182196,120,28,84,https://www.microsoft.com/en-in,11904,0,10428
1607097554053,51909,Microsoft Home Page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,User Group 2 2-23,text,false,Test failed: code expected to contain /200/,4097,120,56,84,https://www.microsoft.com/en-in,4217,0,2612
1607097554053,4217,Microsoft Home Page-0,301,Moved Permanently,User Group 2 2-23,,true,,441,120,56,84,http://www.microsoft.com/en-in,4217,0,2612
1607097558271,47691,Microsoft Home Page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,User Group 2 2-23,text,false,,3656,0,56,84,https://www.microsoft.com/en-in,0,0,47690
1607097593726,12402,Microsoft Windows,200,OK,User Group 2 2-58,text,true,,139126,128,56,84,http://www.microsoft.com/en-in/windows,3010,0,808
1607097580974,25676,Microsoft Windows,200,OK,User Group 1 1-7,text,true,,139126,128,28,84,http://www.microsoft.com/en-in/windows,7316,0,1617
1607097592855,13991,Microsoft Windows,200,OK,User Group 2 2-5,text,true,,139126,128,56,84,http://www.microsoft.com/en-in/windows,2840,0,881
